0.0,18439
0.1,59563
0.2,22174
0.3,1071
0.4,59076
0.5,33486
0.6,22181
0.7,19195
0.8,45401
0.9,20664
0.10,219
0.11,19805
0.12,989
0.13,30189
0.14,26137
0.15,1071
0.16,9246
0.17,33832
0.18,18026
0.19,29294
0.20,58900
0.21,60989
0.22,22200
0.23,1071
0.24,1417
0.25,2944
0.26,1011
0.27,27452
0.28,32886
0.29,66302
0.30,55736
0.31,2264
0.32,45
0.33,2746
0.34,2459
0.35,70809
0.36,51159
0.37,48030
0.38,33713
0.39,1929
0.40,1700
0.41,1929
0.42,4838
0.43,14364
0.44,37817
0.45,41703
0.46,16310
0.47,25877
0.48,12859
0.49,27356
0.50,555
0.51,2944
0.52,29341
0.53,20221
0.54,1071
0.55,26311
0.56,1025
0.57,27293
0.58,25968
0.59,13752
0.60,1071
0.61,49922
0.62,989
0.63,721
0.64,2339
0.65,13730
0.66,30316
0.67,28843
0.68,19301
0.69,26781
0.70,46696
0.71,1071
0.72,67679
0.73,4459
0.74,31207
0.75,7675
0.76,37635
0.77,50057
0.78,51159
0.79,29435
0.80,1617
0.81,57865
0.82,50139
0.83,49321
0.84,18291
0.85,37120
0.86,1071
0.87,5959
0.88,19394
0.89,17723
0.90,989
0.91,67534
0.92,26051
0.93,19394
0.94,49264
0.95,57948
0.96,46562
0.97,61251
0.98,30189
0.99,25846
0.100,33581
0.101,2035
0.102,3065
0.103,39712
0.104,5815
0.105,55814
0.106,60989
0.107,2201
0.108,6821
0.109,14905
0.110,1617
0.111,42163
0.112,43278
0.113,66472
0.114,35300
0.115,30365
0.116,39956
0.117,29110
0.118,11666
0.119,29253
0.120,183
0.121,57953
0.122,35124
0.123,1929
0.124,8335
0.125,33713
0.126,43278
0.127,19370
0.128,47319
0.129,2027
0.130,46718
0.131,14255
0.132,21260
0.133,27313
0.134,27293
0.135,4459
0.136,29294
0.137,27196
0.138,30331
0.139,3852
0.140,20664
0.141,27356
0.142,8016
0.143,31207
0.144,35304
0.145,17743
0.146,1071
0.147,7299
0.148,26648
0.149,2685
0.150,39792
0.151,4043
0.152,47242
0.153,36454
0.154,15130
0.155,27134
0.156,5565
0.157,47897
0.158,25932
0.159,17894
0.160,1071
0.161,342
0.162,47000
0.163,1071
0.164,60909
0.165,41672
0.166,344
0.167,45
0.168,57865
0.169,50362
0.170,36835
0.171,29500
0.172,47672
0.173,29294
0.174,1071
0.175,4628
0.176,17719
0.177,51914
0.178,38676
0.179,37120
0.180,35124
0.181,6364
0.182,53669
0.183,12354
0.184,29110
0.185,17479
0.186,26334
0.187,55191
0.188,1071
0.189,12560
0.190,1669
0.191,17779
0.192,1071
0.193,55349
0.194,57948
0.195,1804
0.196,9000
0.197,18479
0.198,57921
0.199,26776
0.200,27355
0.201,21972
0.202,7144
0.203,555
0.204,30226
0.205,6821
0.206,18747
0.207,342
0.208,38642
0.209,48620
0.210,18291
0.211,39231
0.212,5191
0.213,1429
0.214,20136
0.215,58715
0.216,18629
0.217,59651
0.218,5834
0.219,19764
0.220,4653
0.221,35033
0.222,39231
0.223,57477
0.224,33486
0.225,18288
0.226,555
0.227,35202
0.228,19195
0.229,46803
0.230,29294
0.231,58787
0.232,39792
0.233,46718
0.234,38627
0.235,989
0.236,20865
0.237,35135
0.238,47126
0.239,17894
0.240,57662
0.241,18040
0.242,2388
0.243,50057
0.244,984
0.245,8817
0.246,16627
0.247,2459
0.248,38601
0.249,19636
0.250,35033
0.251,39209
0.252,47897
0.253,48030
0.254,1071
0.255,13074
0.256,1833
0.257,1071
0.258,1071
0.259,14107
0.260,66472
0.261,1011
0.262,41499
0.263,342
0.264,50057
0.265,27229
0.266,14227
0.267,18291
0.268,27698
0.269,1417
0.270,47305
0.271,11492
0.272,47672
0.273,49321
0.274,18693
0.275,22200
0.276,1011
0.277,38591
0.278,17479
0.279,7144
0.280,58654
0.281,17743
0.282,19332
0.283,52554
0.284,555
0.285,67750
0.286,18060
0.287,1071
0.288,57865
0.289,10724
0.290,33581
0.291,33581
0.292,38601
0.293,19052
0.294,2170
0.295,58900
0.296,6599
0.297,26790
0.298,51914
0.299,1929
0.300,70
0.301,71319
0.302,27374
0.303,39209
0.304,5834
0.305,67832
0.306,17139
0.307,16153
0.308,50050
0.309,59738
0.310,36256
0.311,2388
0.312,72602
0.313,57930
0.314,75165
0.315,57921
0.316,52890
0.317,18060
0.318,10848
0.319,46999
0.320,17779
0.321,41703
0.322,3147
0.323,2170
0.324,14508
0.325,26776
0.326,555
0.327,38627
0.328,5190
0.329,60909
0.330,555
0.331,75
0.332,30316
0.333,22181
0.334,11349
0.335,17970
0.336,47958
0.337,30014
0.338,14121
0.339,1929
0.340,1929
0.341,17779
0.342,1929
0.343,25620
0.344,52714
0.345,11666
0.346,1071
0.347,554
0.348,40853
0.349,14227
0.350,71319
0.351,57865
0.352,68284
0.353,4462
0.354,38037
0.355,42163
0.356,25846
0.357,36831
0.358,58068
0.359,36782
0.360,57662
0.361,20221
0.362,39209
0.363,26340
0.364,14508
0.365,40001
0.366,1929
0.367,38964
0.368,14905
0.369,16153
0.370,36782
0.371,555
